DEBUG:root:Loaded 10000 invoices from ../data/invoices.csv
DEBUG:root:Filtered 10000 invoices without POs
DEBUG:root:Loaded 7 purchase orders from ../data/pos.csv
DEBUG:root:Loaded 10000 invoices from ../data/invoices.csv
DEBUG:root:Loaded 7 purchase orders from ../data/pos.csv
DEBUG:root:No matching PO found for invoice 10/09/1982
DEBUG:root:No matching PO found for invoice 03/10/2012
DEBUG:root:No matching PO found for invoice 23/03/1976
DEBUG:root:No matching PO found for invoice 17/08/1986
DEBUG:root:No matching PO found for invoice 11/06/1996
DEBUG:root:No matching PO found for invoice 01/09/2016
DEBUG:root:No matching PO found for invoice 17/04/1993
DEBUG:root:No matching PO found for invoice 27/09/1986
DEBUG:root:No matching PO found for invoice 01/11/1997
DEBUG:root:No matching PO found for invoice 23/03/1994
DEBUG:root:No matching PO found for invoice 12/12/1992
DEBUG:root:No matching PO found for invoice 07/01/2020
DEBUG:root:No matching PO found for invoice 14/06/2019
DEBUG:root:No matching PO found for invoice 15/03/2010
DEBUG:root:No matching PO found for invoice 26/06/2002
DEBUG:root:No matching PO found for invoice 20/08/2009
DEBUG:root:No matching PO found for invoice 31/03/1997
DEBUG:root:No matching PO found for invoice 15/08/1982
DEBUG:root:No matching PO found for invoice 30/09/1996
DEBUG:root:No matching PO found for invoice 21/06/2010
DEBUG:root:No matching PO found for invoice 27/01/1983
DEBUG:root:No matching PO found for invoice 05/03/2000
DEBUG:root:No matching PO found for invoice 28/02/2000
DEBUG:root:No matching PO found for invoice 15/06/2018
DEBUG:root:No matching PO found for invoice 25/05/1981
DEBUG:root:No matching PO found for invoice 23/06/1984
DEBUG:root:No matching PO found for invoice 07/05/2002
DEBUG:root:No matching PO found for invoice 30/11/2012
DEBUG:root:No matching PO found for invoice 22/01/2021
DEBUG:root:No matching PO found for invoice 31/01/1978
DEBUG:root:No matching PO found for invoice 20/10/1999
DEBUG:root:No matching PO found for invoice 11/03/1994
DEBUG:root:No matching PO found for invoice 10/07/2016
DEBUG:root:No matching PO found for invoice 01/03/1973
DEBUG:root:No matching PO found for invoice 10/05/2012
DEBUG:root:No matching PO found for invoice 21/02/2001
DEBUG:root:No matching PO found for invoice 23/01/1973
DEBUG:root:No matching PO found for invoice 28/11/2004
DEBUG:root:No matching PO found for invoice 13/12/1997
DEBUG:root:No matching PO found for invoice 04/11/2012
DEBUG:root:No matching PO found for invoice 09/10/2002
DEBUG:root:No matching PO found for invoice 25/06/2019
DEBUG:root:No matching PO found for invoice 13/11/1980
DEBUG:root:No matching PO found for invoice 13/03/1991
DEBUG:root:No matching PO found for invoice 27/04/2008
DEBUG:root:No matching PO found for invoice 23/09/1993
DEBUG:root:No matching PO found for invoice 05/09/1991
DEBUG:root:No matching PO found for invoice 02/12/1984
DEBUG:root:No matching PO found for invoice 10/10/1987
DEBUG:root:No matching PO found for invoice 28/04/1978
DEBUG:root:No matching PO found for invoice 18/03/2016
DEBUG:root:No matching PO found for invoice 04/09/1988
DEBUG:root:No matching PO found for invoice 03/10/2009
DEBUG:root:No matching PO found for invoice 24/08/2013
DEBUG:root:No matching PO found for invoice 20/11/1979
DEBUG:root:No matching PO found for invoice 28/07/1970
DEBUG:root:No matching PO found for invoice 30/12/2009
DEBUG:root:No matching PO found for invoice 25/08/1971
DEBUG:root:No matching PO found for invoice 02/10/1971
DEBUG:root:No matching PO found for invoice 03/02/1975
DEBUG:root:No matching PO found for invoice 02/02/1980
DEBUG:root:No matching PO found for invoice 16/08/2003
DEBUG:root:No matching PO found for invoice 22/12/1973
DEBUG:root:No matching PO found for invoice 13/07/1981
DEBUG:root:No matching PO found for invoice 13/08/1978
DEBUG:root:No matching PO found for invoice 24/03/1976
DEBUG:root:No matching PO found for invoice 19/04/2008
DEBUG:root:No matching PO found for invoice 23/03/1989
DEBUG:root:No matching PO found for invoice 04/08/1988
DEBUG:root:No matching PO found for invoice 14/02/2014
DEBUG:root:No matching PO found for invoice 26/12/2013
DEBUG:root:No matching PO found for invoice 27/07/1976
DEBUG:root:No matching PO found for invoice 11/09/2013
DEBUG:root:No matching PO found for invoice 14/04/2016
DEBUG:root:No matching PO found for invoice 07/08/2015
DEBUG:root:No matching PO found for invoice 07/12/2020
DEBUG:root:No matching PO found for invoice 30/10/1975
DEBUG:root:No matching PO found for invoice 04/08/1990
DEBUG:root:No matching PO found for invoice 27/09/2021
DEBUG:root:No matching PO found for invoice 28/09/1996
DEBUG:root:No matching PO found for invoice 08/06/2002
DEBUG:root:No matching PO found for invoice 25/11/1986
DEBUG:root:No matching PO found for invoice 04/03/2001
DEBUG:root:No matching PO found for invoice 14/06/1976
DEBUG:root:No matching PO found for invoice 22/02/2021
DEBUG:root:No matching PO found for invoice 02/05/1983
DEBUG:root:No matching PO found for invoice 16/12/1972
DEBUG:root:No matching PO found for invoice 03/06/1989
DEBUG:root:No matching PO found for invoice 03/09/1971
DEBUG:root:No matching PO found for invoice 21/05/1998
DEBUG:root:No matching PO found for invoice 24/12/1986
DEBUG:root:No matching PO found for invoice 27/11/1980
DEBUG:root:No matching PO found for invoice 10/07/1976
DEBUG:root:No matching PO found for invoice 19/06/1983
DEBUG:root:No matching PO found for invoice 24/05/1992
DEBUG:root:No matching PO found for invoice 21/05/2012
DEBUG:root:No matching PO found for invoice 08/04/2009
DEBUG:root:No matching PO found for invoice 12/01/2014
DEBUG:root:No matching PO found for invoice 02/01/1980
DEBUG:root:No matching PO found for invoice 03/03/1989
DEBUG:root:No matching PO found for invoice 26/04/1971
DEBUG:root:No matching PO found for invoice 13/12/2005
DEBUG:root:No matching PO found for invoice 28/08/2005
DEBUG:root:No matching PO found for invoice 02/06/1987
DEBUG:root:No matching PO found for invoice 26/06/2013
DEBUG:root:No matching PO found for invoice 06/05/1970
DEBUG:root:No matching PO found for invoice 31/10/2004
DEBUG:root:No matching PO found for invoice 09/11/1996
DEBUG:root:No matching PO found for invoice 12/09/1987
DEBUG:root:No matching PO found for invoice 03/10/1988
DEBUG:root:No matching PO found for invoice 10/09/2005
DEBUG:root:No matching PO found for invoice 05/05/1974
DEBUG:root:No matching PO found for invoice 08/09/1979
DEBUG:root:No matching PO found for invoice 03/03/2011
DEBUG:root:No matching PO found for invoice 30/11/1970
DEBUG:root:No matching PO found for invoice 02/12/1971
DEBUG:root:No matching PO found for invoice 05/08/2012
DEBUG:root:No matching PO found for invoice 02/12/1997
DEBUG:root:No matching PO found for invoice 14/08/2015
DEBUG:root:No matching PO found for invoice 30/01/1997
DEBUG:root:No matching PO found for invoice 20/01/1995
DEBUG:root:No matching PO found for invoice 31/03/2013
DEBUG:root:No matching PO found for invoice 07/03/1996
DEBUG:root:No matching PO found for invoice 10/08/2001
DEBUG:root:No matching PO found for invoice 29/04/1999
DEBUG:root:No matching PO found for invoice 14/02/2009
DEBUG:root:No matching PO found for invoice 22/03/1980
DEBUG:root:No matching PO found for invoice 27/09/2012
DEBUG:root:No matching PO found for invoice 29/10/1984
DEBUG:root:No matching PO found for invoice 07/12/2019
DEBUG:root:No matching PO found for invoice 22/07/2004
DEBUG:root:No matching PO found for invoice 13/03/1983
DEBUG:root:No matching PO found for invoice 08/10/2020
DEBUG:root:No matching PO found for invoice 13/07/1978
DEBUG:root:No matching PO found for invoice 07/02/2020
DEBUG:root:No matching PO found for invoice 07/05/1990
DEBUG:root:No matching PO found for invoice 01/12/1994
DEBUG:root:No matching PO found for invoice 08/01/1975
DEBUG:root:No matching PO found for invoice 12/01/2009
DEBUG:root:No matching PO found for invoice 26/10/1982
DEBUG:root:No matching PO found for invoice 15/05/2005
DEBUG:root:No matching PO found for invoice 29/06/2019
DEBUG:root:No matching PO found for invoice 04/10/2021
DEBUG:root:No matching PO found for invoice 09/09/2020
DEBUG:root:No matching PO found for invoice 02/08/1987
DEBUG:root:No matching PO found for invoice 05/08/2009
DEBUG:root:No matching PO found for invoice 02/08/1970
DEBUG:root:No matching PO found for invoice 20/01/1978
DEBUG:root:No matching PO found for invoice 02/06/2016
DEBUG:root:No matching PO found for invoice 21/11/1992
DEBUG:root:No matching PO found for invoice 23/04/1999
DEBUG:root:No matching PO found for invoice 21/10/2011
DEBUG:root:No matching PO found for invoice 06/01/1971
DEBUG:root:No matching PO found for invoice 06/07/2013
DEBUG:root:No matching PO found for invoice 16/01/2022
DEBUG:root:No matching PO found for invoice 13/12/2006
DEBUG:root:No matching PO found for invoice 16/03/1980
DEBUG:root:No matching PO found for invoice 25/02/2013
DEBUG:root:No matching PO found for invoice 15/09/1976
DEBUG:root:No matching PO found for invoice 03/07/2010
DEBUG:root:No matching PO found for invoice 07/07/1984
DEBUG:root:No matching PO found for invoice 25/04/1974
DEBUG:root:No matching PO found for invoice 01/01/2004
DEBUG:root:No matching PO found for invoice 26/07/1972
DEBUG:root:No matching PO found for invoice 24/05/1987
DEBUG:root:No matching PO found for invoice 15/12/1976
DEBUG:root:No matching PO found for invoice 17/06/1993
DEBUG:root:No matching PO found for invoice 13/09/2006
DEBUG:root:No matching PO found for invoice 11/11/1982
DEBUG:root:No matching PO found for invoice 28/08/1994
DEBUG:root:No matching PO found for invoice 06/02/2009
DEBUG:root:No matching PO found for invoice 29/04/2005
DEBUG:root:No matching PO found for invoice 24/04/1982
DEBUG:root:No matching PO found for invoice 25/07/2001
DEBUG:root:No matching PO found for invoice 07/04/2018
DEBUG:root:No matching PO found for invoice 08/08/2001
DEBUG:root:No matching PO found for invoice 08/10/1975
DEBUG:root:No matching PO found for invoice 16/06/1995
DEBUG:root:No matching PO found for invoice 12/04/1981
DEBUG:root:No matching PO found for invoice 17/04/1998
DEBUG:root:No matching PO found for invoice 19/04/1993
DEBUG:root:No matching PO found for invoice 24/10/1979
DEBUG:root:No matching PO found for invoice 22/10/1976
DEBUG:root:No matching PO found for invoice 10/12/1992
DEBUG:root:No matching PO found for invoice 16/08/1972
DEBUG:root:No matching PO found for invoice 05/03/1979
DEBUG:root:No matching PO found for invoice 30/11/2004
DEBUG:root:No matching PO found for invoice 25/03/1974
DEBUG:root:No matching PO found for invoice 15/02/2004
DEBUG:root:No matching PO found for invoice 30/06/1975
DEBUG:root:No matching PO found for invoice 21/11/2013
DEBUG:root:No matching PO found for invoice 07/05/2006
DEBUG:root:No matching PO found for invoice 16/06/2000
DEBUG:root:No matching PO found for invoice 06/01/2018
DEBUG:root:No matching PO found for invoice 09/12/2009
DEBUG:root:No matching PO found for invoice 20/08/1998
DEBUG:root:No matching PO found for invoice 17/10/1991
DEBUG:root:No matching PO found for invoice 15/05/2017
DEBUG:root:No matching PO found for invoice 16/04/2013
DEBUG:root:No matching PO found for invoice 03/05/2020
DEBUG:root:No matching PO found for invoice 30/06/1982
DEBUG:root:No matching PO found for invoice 01/07/2016
DEBUG:root:No matching PO found for invoice 16/07/1977
DEBUG:root:No matching PO found for invoice 02/04/2019
DEBUG:root:No matching PO found for invoice 04/08/2009
DEBUG:root:No matching PO found for invoice 27/08/2020
DEBUG:root:No matching PO found for invoice 25/01/1995
DEBUG:root:No matching PO found for invoice 08/02/1983
DEBUG:root:No matching PO found for invoice 11/12/2000
DEBUG:root:No matching PO found for invoice 14/06/1996
DEBUG:root:No matching PO found for invoice 09/07/1998
DEBUG:root:No matching PO found for invoice 23/11/1989
DEBUG:root:No matching PO found for invoice 07/03/2018
DEBUG:root:No matching PO found for invoice 04/02/1974
DEBUG:root:No matching PO found for invoice 30/04/1983
DEBUG:root:No matching PO found for invoice 27/08/1975
DEBUG:root:No matching PO found for invoice 27/01/2002
DEBUG:root:No matching PO found for invoice 13/11/1983
DEBUG:root:No matching PO found for invoice 30/05/1994
DEBUG:root:No matching PO found for invoice 17/06/2009
DEBUG:root:No matching PO found for invoice 19/06/2006
DEBUG:root:No matching PO found for invoice 19/07/1980
DEBUG:root:No matching PO found for invoice 10/12/2016
DEBUG:root:No matching PO found for invoice 25/06/1996
DEBUG:root:No matching PO found for invoice 03/07/2020
DEBUG:root:No matching PO found for invoice 04/05/1989
DEBUG:root:No matching PO found for invoice 27/10/1986
DEBUG:root:No matching PO found for invoice 26/07/1994
DEBUG:root:No matching PO found for invoice 25/03/2007
DEBUG:root:No matching PO found for invoice 10/04/2019
DEBUG:root:No matching PO found for invoice 26/12/1975
DEBUG:root:No matching PO found for invoice 23/11/2005
DEBUG:root:No matching PO found for invoice 14/05/1980
DEBUG:root:No matching PO found for invoice 20/05/2013
DEBUG:root:No matching PO found for invoice 06/06/2005
DEBUG:root:No matching PO found for invoice 06/02/2015
DEBUG:root:No matching PO found for invoice 30/06/1996
DEBUG:root:No matching PO found for invoice 02/07/2017
DEBUG:root:No matching PO found for invoice 20/08/2009
DEBUG:root:No matching PO found for invoice 04/06/1996
DEBUG:root:No matching PO found for invoice 02/05/2006
DEBUG:root:No matching PO found for invoice 27/05/2002
DEBUG:root:No matching PO found for invoice 13/07/2006
DEBUG:root:No matching PO found for invoice 02/10/1972
DEBUG:root:No matching PO found for invoice 20/10/1981
DEBUG:root:No matching PO found for invoice 09/06/2011
DEBUG:root:No matching PO found for invoice 25/09/1971
DEBUG:root:No matching PO found for invoice 15/11/1991
DEBUG:root:No matching PO found for invoice 13/06/1997
DEBUG:root:No matching PO found for invoice 06/03/1982
DEBUG:root:No matching PO found for invoice 27/09/2006
DEBUG:root:No matching PO found for invoice 27/11/1972
